region	mutated_tumours	exp_mutated_tumours	p.cohort_skew	fdr.cohort_skew
PIK3CA	238	27.02056275643481	0	0
PTEN	213	11.111213476046684	0	0
TP53	151	12.85854400014209	1.2041699923189843e-276	6.780279836750762e-273
CTNNB1	121	21.153364632547333	5.954433703827952e-113	2.514557353126544e-109
KRAS	93	5.71504578824786	1.012527899307978e-80	3.420724255022073e-77
PPP2R1A	72	18.76750560356539	1.9936382740814012e-49	5.612756287630505e-46
ARID1A	119	49.24996781823385	2.636141896198057e-44	6.361386987225369e-41
FBXW7	79	18.646004163552455	6.925890385096846e-34	1.462401754813199e-30
CHD4	101	45.04271942732722	3.4278585019976945e-28	6.433709535082784e-25
SPOP	49	11.287363322950087	7.673790852794839e-21	1.2962567508541042e-17
FGFR2	64	22.941579218749688	1.5934718683647855e-18	2.4469933454925416e-15
SOX17	19	18.153146255627334	4.647081599837146e-13	6.541541865370756e-10
CTCF	71	22.08882530565568	1.5331131146990642e-12	1.9921035948843533e-9
FOXA2	19	18.18472054897662	1.694365840390422e-11	2.0443734125625007e-8
PIK3R1	61	20.89383398165139	6.536742610523373e-11	7.361243745130721e-8
NFE2L2	30	15.944026757726721	8.023819528110902e-11	8.471147466803085e-8
ARHGAP35	72	36.35701284278857	2.2900168175187282e-10	2.2754684753839033e-7
AKT1	17	16.91758521475296	2.6555458624457487e-9	2.492082261579644e-6
ACVR1	28	14.530734331655449	3.743751799023204e-9	3.328392388899998e-6
PLXNB2	48	47.81025962612832	4.765539233298458e-8	4.0249744364438774e-5
CSMD3	110	58.786427390619046	5.129511921162843e-7	4.126081684394416e-4
NRAS	17	5.328514688488794	1.8258927858619595e-6	0.0014019536790354646
ING1	22	13.378505348538715	3.7264527680037723e-6	0.0027368365285704225
PIK3R2	17	27.177158460305147	4.533874628682855e-6	0.0031910920928212828
KCNQ2	26	29.746305433123673	9.224548093335086e-6	0.006232842655704651
BMF	4	5.728634333468188	1.3325370298095212e-5	0.008657390579824013
ABL1	19	31.29380770680194	1.5417584279572974e-5	0.00964569754261284
OR10G9	10	8.11748427169878	1.6380577989328842e-5	0.00973313559381617
MYC	17	17.796865900506926	1.6709740245126032e-5	0.00973313559381617
KCNN2	20	25.19259290395685	2.079466463474596e-5	0.011708782500337626
TP73	20	21.3871824354635	2.422476543227349e-5	0.013200152828450443
SALL3	32	43.02520232593062	3.0301352317475134e-5	0.015995326354587187
KMT2B	79	60.4710558272074	3.3795010982996906e-05	0.017018152061248015
TRIQK	6	2.590791533549582	3.4253917243809646e-5	0.017018152061248015
NDUFS8	3	8.150116821999239	4.0679244168725374e-5	0.019632965499945972
CRYBB2	8	6.702025857068268	4.342307424031214e-5	0.020375071390759798
CCND1	22	11.16535577859128	5.915754121971771e-5	0.027007815845499227
RRAS2	11	6.797932561088192	6.610640565785914e-5	0.029386036957172543
MYCN	13	19.421791650758188	7.080815099971939e-5	0.030669007350955384
MAX	17	6.355899929520966	9.596146250248414e-5	0.04033106610698159
DOK1	13	16.00356370381786	9.789093715286794e-5	0.04033106610698159
ERBB2	30	32.055629069846105	1.0997366120573784e-4	0.0442303591687458
H2AC8	3	6.646798394088191	1.2412040506625e-4	0.04875911354369988
KMT2D	96	79.53587869250116	1.3053317238231253e-4	0.05011287154277326
PCDHA3	42	31.119346280847356	1.35659470210644e-4	0.050923550462182186
H2BC5	8	5.524395097229638	2.0592768435087613e-4	0.0756202270446739
PRPF18	14	10.663578668697065	2.201781597486429e-4	0.07913296754200162
OR8B2	6	7.874558705089014	2.4118072133756058e-4	0.08487551551737653
SMARCB1	13	13.49179933790989	2.482015108766354e-4	0.08556367187200256
C4orf33	5	5.235879277975263	2.679875325150336e-4	0.09053690798487894
ACAP3	10	28.87086418443197	2.7884779218562594e-4	0.09235876285489399
TMEM132C	46	31.31598945178685	3.0605836438592714e-4	0.09942188252321311
EHF	8	8.808168681226292	3.339460385230491e-4	0.10475835073134895
SIGLEC14	10	11.71014022668329	3.4045328991060843e-4	0.10475835073134895
PCDHA2	37	30.999511243603557	3.410910069988274e-4	0.10475835073134895
SORCS1	52	30.831360551028812	3.709062119643846e-4	0.11188120950897115
AHCY	15	13.836457269469962	3.915255233458267e-4	0.11602893228697728
AASDHPPT	15	10.068800667057111	4.085991577641716e-4	0.11900098229228254
ID1	3	8.008418519275848	4.2397420173510435e-4	0.12138596975778615
LGALS3BP	17	17.737177428650874	4.3672090440156344e-4	0.12295149195252017
IGFN1	44	60.79562491988172	4.446385035764384e-4	0.12312841971169176
NPPA	6	5.099338090580568	4.6519989132017225e-4	0.12616628939367674
CALN1	15	9.329203661136452	4.7509691894484995e-4	0.12616628939367674
PTPRT	51	36.612847249659005	4.8126162582180304e-4	0.12616628939367674
PLA2G2E	9	5.2136050253771264	4.8769171188897686e-4	0.12616628939367674
PSKH1	12	14.539139241471156	4.929537710148393e-4	0.12616628939367674
BCAN	28	28.022474406593673	5.271852680569684e-4	0.13061054499054991
POLR2F	4	5.744489693886688	5.348374713196992e-4	0.13061054499054991
ARVCF	20	32.33856917382792	5.406901403333723e-4	0.13061054499054991
WDFY4	71	56.975314858715095	5.412466344623783e-4	0.13061054499054991
BCL9L	33	36.836579744777524	5.768436132261868e-4	0.13724003260023587
RYR2	106	75.64833629045923	5.89169331805424e-4	0.13822567156746143
PRAMEF5	6	12.250454423136219	0.00061421127912689665	0.14137356913857085
VHL	5	10.199063889301609	6.193253679998961e-4	0.14137356913857085
ELP6	9	8.078943323569357	6.786088301155836e-4	0.15284080477749917
EBF4	12	22.2944025115218	7.293133549344885e-4	0.16209948936254448
LCE1C	6	3.0918976633670683	8.103566839917303e-4	0.17777331306478322
GAMT	4	9.431015964281746	8.30521727665652e-4	0.17986119261189992
GLOD4	5	9.640284417059668	8.849796409765088e-4	0.18694232710968967
KCNE1	4	4.695543939311326	8.853531949310427e-4	0.18694232710968967
COL7A1	51	60.445255020417115	9.130619374144793e-4	0.1895741865668794
ERBB3	47	32.64510607182062	9.202630415867933e-4	0.1895741865668794
SLCO4A1	27	21.822388547073018	9.402210626865464e-4	0.19105819880401542
GREB1	52	46.13334572541892	9.500881304485729e-4	0.19105819880401542
GPER1	9	13.754706562310053	9.794533562132882e-4	0.19426387043037
GSTA5	9	6.813552013354791	9.890298873438208e-4	0.19426387043037
SLC35G5	13	9.88896568917316	0.0010420295522805107	0.20232141605887802
MUC4	65	78.0038061643127	0.001062203595174852	0.20389480829197273
LRP1	81	77.71244758554694	0.0010785587649887274	0.2047080298672987
CPXM2	31	23.758105912120243	0.0012372507164030307	0.23221821223866662
CERS2	12	12.5808957686471	0.0012544068057736425	0.23239058292211662
OR2C3	22	8.796173484735212	0.001265683970449605	0.23239058292211662
RXFP3	30	18.08236731229638	0.0012943758423200709	0.2351031906287165
MIS18A	3	9.019210773568815	0.0013470440571597985	0.24206668312280125
UBE2N	10	4.771295288963853	0.0013683905799830622	0.24264463264044825
PKD1	54	79.21461423354333	0.001387385418347082	0.24264463264044825
EP300	53	47.65326675266532	0.001399527264225131	0.24264463264044825
AJAP1	15	14.811519812865791	0.00140771809133104	0.24264463264044825
FBXO17	6	11.81948245035349	0.001451216225596459	0.247615600836115
RNF43	28	21.972540572971294	0.0015135756542266803	0.2531071805031893
SIRPD	9	5.395134858566964	0.0015259093732929152	0.2531071805031893
AFMID	12	9.645282068374186	0.0015283526172937079	0.2531071805031893
ESR1	21	18.944810675899323	0.001562178750594016	0.2541660401341577
CCT8L2	31	15.00280093558467	0.0015648394609254323	0.2541660401341577
HPR	10	9.91962605835048	0.0015985071014464828	0.25626679054899665
FZD3	21	18.357772956066416	0.0016083814065419645	0.25626679054899665
ELFN2	30	28.53293868314362	0.0016232859690233628	0.25626679054899665
OR10P1	13	9.450257083182679	0.0016724951555859525	0.2615906311866473
EPPK1	40	92.51293745901489	0.0016949044586624395	0.26266354234610945
PRR12	26	50.3989590474131	0.0017187945977632543	0.263944348594699
DNASE1L2	5	13.616146689413632	0.0018106355059552674	0.2755428375369043
CSMD2	75	63.531090057599	0.0018842121701152373	0.2841795712284517
CD160	4	4.795490405622927	0.0019444706117126595	0.29067254489424993
VIT	30	19.987830699389153	0.0019715100614720745	0.29212936805602
ELOF1	6	3.638324362274454	0.0020530573462325544	0.30156734515269834
CDH4	30	29.095454702260515	0.0021320088586763986	0.3067714434537406
SLC7A5	11	17.599942985059084	0.0021334581841983315	0.3067714434537406
SLC22A12	16	16.50711633814012	0.0021429688803896157	0.3067714434537406
NFKB2	22	27.392657065878883	0.0022337792258038413	0.316246393287726
RIPK4	14	27.061311941868528	0.0022465999996760075	0.316246393287726
POLD1	31	35.02071351831262	0.002302439387402016	0.3189864602238868
DNAJB2	13	12.040774357342231	0.002303833065789379	0.3189864602238868
OR7G3	11	7.6180797215120535	0.0023511821077679502	0.3225347819303064
NFASC	53	34.107597100017706	0.0023917508075682564	0.3225347819303064
CD4	14	12.64172170680727	0.002413055276182587	0.3225347819303064
UBAP2L	19	27.45806948616926	0.002422473392804949	0.3225347819303064
GDE1	7	10.182291939393215	0.0024249299849129122	0.3225347819303064
SLC39A4	12	20.7140934897336	0.0024785101298730535	0.3232813388137458
CGB8	6	5.9415249560258445	0.00249301207004584	0.3232813388137458
LPGAT1	10	9.872313380008018	0.0025056647501790364	0.3232813388137458
TNIP1	21	19.818659538534448	0.002507095393357844	0.3232813388137458
ALX1	20	10.743518250820141	0.0025381351413210746	0.3248043849029969
LCN1	6	6.265383481194468	0.002576532553721019	0.3272390067477854
ASB13	9	10.869414294549532	0.002606822436953106	0.32737963697154343
TMEM92	3	4.644067782489802	0.00263556695166985	0.32737963697154343
DECR2	12	11.516401682472887	0.00263578206418008	0.32737963697154343
PIK3CD	26	30.489687513122455	0.0026655429013055427	0.3286594940792206
BEGAIN	9	24.234442691792626	0.0027272059385680084	0.33211471162088574
CDH23	63	64.72409651234227	0.0027328880485024344	0.33211471162088574
LONRF2	10	26.64009361032997	0.002753491855709332	0.3322284601903002
KCNJ5	18	13.111987235800125	0.002809643993722334	0.33659933575856504
RERE	30	41.79369185108434	0.0028365904721691588	0.3374344102526861
CDK17	23	14.84407878973527	0.002857212423203087	0.33751071505417163
CNTNAP2	60	32.916554485795075	0.0029096482433406783	0.3413179036563246
H1-4	12	9.639224869258914	0.002951369700446424	0.3438243929651103
PGLS	5	11.290868636140434	0.002973680634754258	0.34405077590595157
P2RY11	14	13.506385525971904	0.003068161197942872	0.3500426877723869
H4C12	7	5.651891981101467	0.003091759507106078	0.3500426877723869
IGSF21	22	17.068112347945505	0.0031030631974900804	0.3500426877723869
KNDC1	41	46.197039224707446	0.0031170551409980124	0.3500426877723869
CLUH	34	40.30610177454272	0.003129081568412883	0.3500426877723869
FAM216B	3	4.174040020569031	0.003165179457600315	0.3517513907748982
ALYREF	9	12.09233108794434	0.0031921240597768334	0.3524271870441194
SHISA7	5	23.17534141003118	0.003265488019150863	0.3543512191614566
ORAI2	9	8.890120478294694	0.003272454722997225	0.3543512191614566
C19orf38	4	7.475727670687782	0.0033099629507740026	0.3543512191614566
ACOT11	19	19.643264900178114	0.003331183899698516	0.3543512191614566
PLCD3	15	27.40274386867267	0.0033458963166929133	0.3543512191614566
PLEKHA4	23	26.42905923704691	0.003360030942765846	0.3543512191614566
NPY2R	12	10.128495662726738	0.003393670224714218	0.3543512191614566
RNF151	7	9.377938057679945	0.003407209707969313	0.3543512191614566
LZTR1	31	26.724210682018914	0.003411055037282822	0.3543512191614566
HCAR2	16	11.096654620129803	0.003437127140161697	0.3543512191614566
TRABD2A	18	16.43712939899378	0.003448578224334921	0.3543512191614566
KLHL42	12	17.493688604200052	0.003525657929403121	0.3543512191614566
COL6A2	35	34.70631045691955	0.0035313074402648016	0.3543512191614566
EIF3CL	3	27.744632528287017	0.0035329942204292896	0.3543512191614566
RPS5	5	7.9345419012356055	0.0035443189636575915	0.3543512191614566
CPNE9	19	17.23170102090643	0.0035641291531923695	0.3543512191614566
HERPUD1	3	12.05430068921542	0.003566167846166684	0.3543512191614566
