seqnames	start	end	strand	gene
chr1	66999139	66999638	+	SGIP1
chr1	8377645	8378144	+	SLC45A1
chr1	16766667	16767166	+	NECAP2
chr1	25071260	25071759	+	CLIC4
chr1	33547279	33547778	+	AZIN2
chr1	50489627	50490126	-	AGBL4
chr1	92351837	92352336	-	TGFBR3
chr1	100715410	100715909	-	DBT
chr1	150980367	150980866	+	PRUNE1
chr1	176176381	176176880	-	RFWD2
chr1	184355650	184356149	+	C1orf21
chr1	226497205	226497704	-	LIN9
chr1	1051737	1052236	-	C1orf159
chr1	1981409	1981908	+	PRKCZ
chr1	2985242	2985741	+	PRDM16
chr1	6296045	6296544	-	ICMT
chr1	6844884	6845383	+	CAMTA1
chr1	20959448	20959947	+	PINK1
chr1	22109689	22110188	-	USP48
chr1	23036831	23037330	+	EPHB2
chr1	26232994	26233493	-	STMN1
chr1	27247713	27248212	+	NUDC
chr1	28415149	28415648	-	EYA3
chr1	29213103	29213602	+	EPB41
chr1	31538565	31539064	-	PUM1
chr1	32478795	32479294	+	KHDRBS1
chr1	34630876	34631375	-	CSMD2
chr1	35658744	35659243	-	SFPQ
chr1	36689517	36690016	+	THRAP3
chr1	39549339	39549838	+	MACF1
chr1	43996031	43996530	+	PTPRF
chr1	44870332	44870831	+	RNF220
chr1	46152303	46152802	-	GPBP1L1
chr1	48462563	48463062	-	TRABD2B
chr1	51425937	51426436	-	FAF1
chr1	52456437	52456936	-	RAB3B
chr1	53392401	53392900	+	SCP2
chr1	54518745	54519244	+	TCEANC2
chr1	55681040	55681539	-	USP24
chr1	58716212	58716711	-	DAB1
chr1	59762125	59762624	+	FGGY
chr1	61547034	61547533	+	NFIA
chr1	62901883	62902382	+	USP1
chr1	63988945	63989444	-	ITGB3BP
chr1	64935976	64936475	+	CACHD1
chr1	65885835	65886334	+	LEPR
chr1	70225358	70225857	+	LRRC7
chr1	72748278	72748777	-	NEGR1
chr1	76539889	76540388	+	ST6GALNAC3
chr1	77685133	77685632	-	PIGK
chr1	87012259	87012758	+	CLCA4
chr1	90098144	90098643	+	LRRC8C
chr1	93427080	93427579	-	FAM69A
chr1	94375155	94375654	-	GCLM
chr1	107690191	107690690	+	NTNG1
chr1	110090686	110091185	+	GNAI3
chr1	112162269	112162768	+	RAP1A
chr1	113249679	113250178	-	RHOC
chr1	114301778	114302277	-	PHTF1
chr1	118471872	118472371	+	WDR3
chr1	120612318	120612817	-	NOTCH2
chr1	144614459	144614958	+	NBPF9
chr1	145727166	145727665	+	PDZK1
chr1	149982687	149983186	-	OTUD7B
chr1	154164612	154165111	-	TPM3
chr1	156252621	156253120	-	SMG5
chr1	161474705	161475204	+	FCGR2A
chr1	164528097	164528596	+	PBX1
chr1	170904112	170904611	+	MROH9
chr1	171810118	171810617	+	DNM3
chr1	173020104	173020603	-	TNFSF18
chr1	175036494	175036993	+	TNN
chr1	177140024	177140523	+	BRINP2
chr1	178062364	178062863	+	RASAL2
chr1	179262349	179262848	+	SOAT1
chr1	180472023	180472522	-	ACBD6
chr1	182418756	182419255	+	RGSL1
chr1	183441006	183441505	+	SMG7
chr1	186649560	186650059	-	PTGS2
chr1	197169673	197170172	-	ZBTB41
chr1	198125608	198126107	+	NEK7
chr1	202317330	202317829	+	PPP1R12B
chr1	210501750	210502249	+	HHAT
chr1	212873328	212873827	-	BATF3
chr1	216596739	216597238	-	USH2A
chr1	220220001	220220500	-	EPRS
chr1	225116856	225117355	+	DNAH14
chr1	228594518	228595017	-	TRIM11
chr1	229644089	229644588	-	NUP133
chr1	236030228	236030727	-	LYST
chr1	236958081	236958580	+	MTR
chr1	241520531	241521030	-	RGS7
chr1	245317787	245318286	+	KIF26B
