seqnames	start	end	strand	region	assembly
chr1	64919	65418	+	OR4F5	hg38
chr1	451679	452178	-	OR4F29	hg38
chr1	686655	687154	-	OR4F16	hg38
chr1	923423	923922	+	SAMD11	hg38
chr1	959257	959756	-	NOC2L	hg38
chr1	960084	960583	+	KLHL17	hg38
chr1	965982	966481	+	PLEKHN1	hg38
chr1	982094	982593	-	PERM1	hg38
chr1	1000098	1000597	-	HES4	hg38
chr1	1012997	1013496	+	ISG15	hg38
chr1	1019620	1020119	+	AGRN	hg38
chr1	1074307	1074806	-	RNF223	hg38
chr1	1116090	1116589	-	C1orf159	hg38
chr1	1173380	1173879	+	TTLL10	hg38
chr1	1206593	1207092	-	TNFRSF18	hg38
chr1	1214154	1214653	-	TNFRSF4	hg38
chr1	1232002	1232501	-	SDF4	hg38
chr1	1231737	1232236	+	B3GALT6	hg38
chr1	1246723	1247222	-	C1QTNF12	hg38
chr1	1273855	1274354	-	UBE2J2	hg38
chr1	1279936	1280435	+	SCNN1D	hg38
chr1	1307931	1308430	-	ACAP3	hg38
chr1	1308097	1308596	+	PUSL1	hg38
chr1	1324661	1325160	-	INTS11	hg38
chr1	1324302	1324801	+	CPTP	hg38
chr1	1330780	1331279	+	TAS1R3	hg38
chr1	1349419	1349918	-	DVL1	hg38
chr1	1358556	1359055	-	MXRA8	hg38
chr1	1375208	1375707	-	AURKAIP1	hg38
chr1	1399336	1399835	-	CCNL2	hg38
chr1	1407294	1407793	-	MRPL20	hg38
chr1	1421277	1421776	-	ANKRD65	hg38
chr1	1425371	1425870	+	TMEM88B	hg38
chr1	1435190	1435689	+	VWA1	hg38
chr1	1449189	1449688	+	ATAD3C	hg38
chr1	1471265	1471764	+	ATAD3B	hg38
chr1	1511662	1512161	+	ATAD3A	hg38
chr1	1540625	1541124	-	TMEM240	hg38
chr1	1574864	1575363	-	SSU72	hg38
chr1	1600136	1600635	-	FNDC10	hg38
chr1	1615000	1615499	+	MIB2	hg38
chr1	1631673	1632172	+	MMP23B	hg38
chr1	1659005	1659504	-	CDK11B	hg38
chr1	1692796	1693295	-	SLC35E2B	hg38
chr1	1724358	1724857	-	CDK11A	hg38
chr1	1778471	1778970	-	NADK	hg38
chr1	1891088	1891587	-	GNB1	hg38
chr1	1914760	1915259	+	CALML6	hg38
chr1	1919280	1919779	-	TMEM52	hg38
chr1	2003787	2004286	-	CFAP74	hg38
chr1	2018845	2019344	+	GABRD	hg38
chr1	2049911	2050410	+	PRKCZ	hg38
chr1	2194773	2195272	-	FAAP20	hg38
chr1	2227819	2228318	+	SKI	hg38
chr1	2391555	2392054	-	MORN1	hg38
chr1	2391341	2391840	+	RER1	hg38
chr1	2412565	2413064	-	PEX10	hg38
chr1	2475789	2476288	+	PLCH2	hg38
chr1	2526597	2527096	-	PANK4	hg38
chr1	2530264	2530763	-	HES5	hg38
chr1	2555871	2556370	+	TNFRSF14	hg38
chr1	2586277	2586776	+	PRXL2B	hg38
chr1	2633017	2633516	-	MMEL1	hg38
chr1	2801694	2802193	-	TTC34	hg38
chr1	3020967	3021466	+	ACTRT2	hg38
chr1	3068703	3069202	+	PRDM16	hg38
chr1	3454165	3454664	+	ARHGEF16	hg38
chr1	3611509	3612008	-	MEGF6	hg38
chr1	3624515	3625014	+	TPRG1L	hg38
chr1	3650104	3650603	-	WRAP73	hg38
chr1	3652016	3652515	+	TP73	hg38
chr1	3751950	3752449	+	CCDC27	hg38
chr1	3772249	3772748	+	SMIM1	hg38
chr1	3796499	3796998	-	LRRC47	hg38
chr1	3857212	3857711	-	CEP104	hg38
chr1	3856976	3857475	+	DFFB	hg38
chr1	3900273	3900772	-	C1orf174	hg38
chr1	4654109	4654608	+	AJAP1	hg38
chr1	5992426	5992925	-	NPHP4	hg38
chr1	6045388	6045887	+	KCNAB2	hg38
chr1	6180322	6180821	-	CHD5	hg38
chr1	6199596	6200095	-	RPL22	hg38
chr1	6205619	6206118	+	RNF207	hg38
chr1	6235965	6236464	-	ICMT	hg38
chr1	6243679	6244178	+	HES3	hg38
chr1	6261099	6261598	-	GPR153	hg38
chr1	6393768	6394267	-	ACOT7	hg38
chr1	6419920	6420419	-	HES2	hg38
chr1	6424276	6424775	+	ESPN	hg38
chr1	6466174	6466673	-	TNFRSF25	hg38
chr1	6491668	6492167	-	PLEKHG5	hg38
chr1	6554514	6555013	-	NOL9	hg38
chr1	6554807	6555306	+	TAS1R1	hg38
chr1	6579494	6579993	+	ZBTB48	hg38
chr1	6602870	6603369	-	KLHL21	hg38
chr1	6613231	6613730	+	PHF13	hg38
chr1	6624368	6624867	+	THAP3	hg38
chr1	6701817	6702316	-	DNAJC11	hg38
chr1	6784954	6785453	+	CAMTA1	hg38
chr1	7770796	7771295	+	VAMP3	hg38
chr1	7783791	7784290	+	PER3	hg38
chr1	7853066	7853565	-	UTS2	hg38
chr1	7940840	7941339	-	TNFRSF9	hg38
chr1	7961211	7961710	+	PARK7	hg38
chr1	8026310	8026809	-	ERRFI1	hg38
chr1	8317614	8318113	+	SLC45A1	hg38
chr1	8817641	8818140	-	RERE	hg38
chr1	8878687	8879186	-	ENO1	hg38
chr1	8945368	8945867	+	CA6	hg38
chr1	9026424	9026923	-	SLC2A7	hg38
chr1	9069636	9070135	-	SLC2A5	hg38
chr1	9129103	9129602	-	GPR157	hg38
chr1	9234274	9234773	+	H6PD	hg38
chr1	9292394	9292893	+	SPSB1	hg38
chr1	9538965	9539464	+	SLC25A33	hg38
chr1	9588411	9588910	+	TMEM201	hg38
chr1	9651231	9651730	+	PIK3CD	hg38
chr1	9823966	9824465	-	CLSTN1	hg38
chr1	9910270	9910769	-	CTNNBIP1	hg38
chr1	9943392	9943891	-	LZIC	hg38
chr1	9942975	9943474	+	NMNAT1	hg38
chr1	9996728	9997227	+	RBP7	hg38
chr1	10032458	10032957	+	UBE4B	hg38
chr1	10210070	10210569	+	KIF1B	hg38
chr1	10398564	10399063	+	PGD	hg38
chr1	10429933	10430432	+	CENPS	hg38
chr1	10449531	10450030	+	CORT	hg38
chr1	10472530	10473029	-	DFFA	hg38
chr1	10474450	10474949	+	PEX14	hg38
chr1	10796647	10797146	-	CASZ1	hg38
chr1	10982077	10982576	-	C1orf127	hg38
chr1	11012154	11012653	+	TARDBP	hg38
chr1	11047240	11047739	-	MASP2	hg38
chr1	11060019	11060518	-	SRM	hg38
chr1	11099870	11100369	-	EXOSC10	hg38
chr1	11262552	11263051	-	MTOR	hg38
chr1	11188855	11189354	+	ANGPTL7	hg38
chr1	11272698	11273197	+	UBIAD1	hg38
chr1	11478655	11479154	+	DISP3	hg38
chr1	11654430	11654929	-	FBXO2	hg38
chr1	11654377	11654876	+	FBXO44	hg38
chr1	11663700	11664199	+	FBXO6	hg38
chr1	11681149	11681648	-	MAD2L2	hg38
chr1	11691210	11691709	+	DRAXIN	hg38
chr1	11735636	11736135	+	AGTRAP	hg38
chr1	11761693	11762192	+	C1orf167	hg38
chr1	11805965	11806464	-	MTHFR	hg38
chr1	11805691	11806190	+	CLCN6	hg38
chr1	11847784	11848283	-	NPPA	hg38
chr1	11858946	11859445	-	NPPB	hg38
chr1	11926428	11926927	-	KIAA2013	hg38
chr1	11934217	11934716	+	PLOD1	hg38
chr1	11979944	11980443	+	MFN2	hg38
chr1	12018998	12019497	+	MIIP	hg38
chr1	12062803	12063302	+	TNFRSF8	hg38
chr1	12166491	12166990	+	TNFRSF1B	hg38
chr1	12229530	12230029	+	VPS13D	hg38
chr1	12618211	12618710	-	DHRS3	hg38
chr1	12643585	12644084	+	AADACL4	hg38
chr1	12715610	12716109	+	AADACL3	hg38
chr1	12745700	12746199	+	CFAP107	hg38
chr1	12773238	12773737	+	PRAMEF12	hg38
chr1	12790897	12791396	+	PRAMEF1	hg38
chr1	12831411	12831910	-	PRAMEF11	hg38
chr1	12848721	12849220	-	HNRNPCL1	hg38
chr1	12856586	12857085	+	PRAMEF2	hg38
chr1	12886202	12886701	-	PRAMEF4	hg38
chr1	12898271	12898770	-	PRAMEF10	hg38
chr1	12916110	12916609	+	PRAMEF7	hg38
chr1	12947581	12948080	-	PRAMEF6	hg38
chr1	13056576	13057075	-	PRAMEF27	hg38
chr1	13060269	13060768	+	HNRNPCL3	hg38
chr1	13070274	13070773	+	PRAMEF25	hg38
chr1	13116855	13117354	-	HNRNPCL2	hg38
chr1	13156010	13156509	-	PRAMEF26	hg38
chr1	13165632	13166131	-	HNRNPCL4	hg38
chr1	13171348	13171847	+	PRAMEF9	hg38
chr1	13201410	13201909	-	PRAMEF13	hg38
chr1	13226155	13226654	-	PRAMEF18	hg38
chr1	13253698	13254197	+	PRAMEF5	hg38
chr1	13285138	13285637	-	PRAMEF8	hg38
chr1	13303039	13303538	+	PRAMEF33	hg38
chr1	13315081	13315580	+	PRAMEF15	hg38
chr1	13347135	13347634	-	PRAMEF14	hg38
chr1	13371948	13372447	-	PRAMEF19	hg38
chr1	13389132	13389631	+	PRAMEF17	hg38
chr1	13409950	13410449	+	PRAMEF20	hg38
chr1	13514004	13514503	-	LRRC38	hg38
chr1	13583332	13583831	+	PDPN	hg38
chr1	13699688	13700187	+	PRDM2	hg38
chr1	14598185	14598684	+	KAZN	hg38
chr1	15153247	15153746	+	TMEM51	hg38
chr1	15246723	15247222	+	FHAD1	hg38
chr1	15409388	15409887	+	EFHD2	hg38
chr1	15437943	15438442	+	CTRC	hg38
chr1	15456232	15456731	+	CELA2A	hg38
chr1	15475604	15476103	+	CELA2B	hg38
chr1	15524216	15524715	-	CASP9	hg38
chr1	15526348	15526847	+	DNAJC16	hg38
chr1	15585052	15585551	-	AGMAT	hg38
chr1	15616958	15617457	+	DDI2	hg38
chr1	15659213	15659712	+	RSC1A1	hg38
chr1	15683820	15684319	+	PLEKHM2	hg38
chr1	15735758	15736257	+	SLC25A34	hg38
chr1	15741999	15742498	+	TMEM82	hg38
chr1	15758295	15758794	+	FBLIM1	hg38
chr1	15807650	15808149	-	UQCRHL	hg38
chr1	15847207	15847706	+	SPEN	hg38
chr1	15976102	15976601	-	ZBTB17	hg38
chr1	16003736	16004235	+	SRARP	hg38
chr1	16018044	16018543	-	HSPB7	hg38
chr1	16021536	16022035	+	CLCNKA	hg38
chr1	16043282	16043781	+	CLCNKB	hg38
chr1	16073652	16074151	-	FAM131C	hg38
chr1	16156070	16156569	-	EPHA2	hg38
chr1	16212653	16213152	-	ARHGEF19	hg38
chr1	16237184	16237683	-	CPLANE2	hg38
chr1	16352481	16352980	-	FBXO42	hg38
chr1	16366742	16367241	+	SZRD1	hg38
chr1	16437425	16437924	-	SPATA21	hg38
chr1	16440224	16440723	+	NECAP2	hg38
chr1	16613565	16614064	-	NBPF1	hg38
chr1	16921431	16921930	+	CROCC	hg38
chr1	16980621	16981120	-	MFAP2	hg38
